name,alg
"OLL 1","R U2 R2 F R F' U2 R' F R F'"
"OLL 2","F R U R' U' F' B U L U' L' B'"
"OLL 3","B U L U' L' B' L F U F' U' L'"
"OLL 4","B U L U' L' B' R B U B' U' R'"
"OLL 5","R' F2 L F L' F R"
"OLL 6","L F2 R' F' R F' L'"
"OLL 7","L F R' F R F2 L'"
"OLL 8","R' F' L F' L' F2 R"
"OLL 9","R U R' U' R' F R2 U R' U' F'"
"OLL 10","R U R' U R' F R F' R U2 R'"
"OLL 11","L F R' F R' D R D' R F2 L'"
"OLL 12","F R U R' U' F' U F R U R' U' F'"
"OLL 13","R U R' U R' F R F' R U2 R'"
"OLL 14","R' F R U R' F' R F U' F'"
"OLL 15","R' F' R L' U' L U R' F R"
"OLL 16","L F L' R U R' U' L F' L'"
"OLL 17","R U R' U R' F R F' U2 R' F R F'"
"OLL 18","F R' F' R U2 F R' F' R U' R U' R'"
"OLL 19","M U' R U R' U' M' R' F R F'"
"OLL 20","L F R' F' L2 R2 B R B' R' B' R' L U"
"OLL 21","R U2 R' U' R U R' U' R U' R'"
"OLL 22","R U2 R2 U' R2 U' R2 U2 R"
"OLL 23","R2 D' R U2 R' D R U2 R"   
"OLL 24","R U R D R' U' R D' R2"
"OLL 25","R2 D R' U R D' R' U' R'"
"OLL 26","R U2 R' U' R U' R'"
"OLL 27","R U R' U R U2 R'"
"OLL 28","M' U M U2 M' U M"
"OLL 29","L2 U' L B L' U L2 U' L' B' L"
"OLL 30","F U R U2 R' U' R U2 R' U' F'"
"OLL 31","R' U' F U R U' R' F' R"
"OLL 32","L U F' U' L' U L F L'"
"OLL 33","R U R' U' R' F R F'"
"OLL 34","R U R2 U' R' F R U R U' F'"
"OLL 35","R U2 R2 F R F' R U2 R'"
"OLL 36","R U R' F' R U R' U R' F R U' R' F R F'"
"OLL 37","F R' F' R U R U' R'"
"OLL 38","R U R' U R U' R' U' R' F R F'"
"OLL 39","L F' L' U' L U F U' L'"
"OLL 40","R' F R U R' U' F' U R"
"OLL 41","R U R' U R U2 R' F R U R' U' F'"
"OLL 42","R' U' R U' R' U2 R F R U R' U' F'"
"OLL 43","R' U' F' U F R"
"OLL 44","F U R U' R' F'"
"OLL 45","F R U R' U' F'"
"OLL 46","R' U' R' F R F' U R"
"OLL 47","R' U' R' F R F' R' F R F' U R"
"OLL 48","F R U R' U' R U R' U' F'"
"OLL 49","L F' L2 B L2 F L2 B' L"
"OLL 50","L' B L2 F' L2 B' L2 F L'"
"OLL 51","F U R U' R' U R U' R' F'"
"OLL 52","R U R' U R U' B U' B' R'"
"OLL 53","L' B' R B' R' B R B' R' B2 L"
"OLL 54","L F R' F R F' R' F R F2 L'"
"OLL 55","R' F R U R U' R2 F' R2 U' R' U R U R'"
"OLL 56","L F L' U R U' R' U R U' R' L F' L'"
"OLL 57","R U R' U' R' L F R F' L'"
"Aa-Perm","R' F R' B2 R F' R' B2 R2"
"Ab-Perm","R2 B2 R F R' B2 R F' R"
"F-Perm","R' U' F' R U R' U' R' F R2 U' R' U' R U R' U R"
"Ga-Perm","R2 U R' U R' U' R U' R2 U' D R' U R D'"
"Gb-Perm","R' U' R U D' R2 U R' U R U' R U' R2 D"
"Gc-Perm","R2 U' R U' R U R' U R2 U D' R U' R' D"
"Gd-Perm","R U R' U' D R2 U' R U' R' U R' U R2 D'"
"Ja-Perm","R' U L' U2 R U' R' U2 L R U'"
"Jb-Perm","R U R' F' R U R' U' R' F R2 U' R'"
"Ra-Perm","R U' R' U' R U R D R' U' R D' R' U2 R'"
"Rb-Perm","R' U2 R U2 R' F R U R' U' R' F' R2"
"T-Perm","R U R' U' R' F R2 U' R' U' R U R' F'"
"E-Perm","R B' R' F R B R' F' R B R' F R B' R' F'"
"Na-Perm","R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R'"
"Nb-Perm","R' U R U' R' F' U' F R U R' F R' F' R U' R"
"V-Perm","R2 D R2 U' R2 U D' R' D R' D' R U' R' U R'"
"Y-Perm","F R U' R' U' R U R' F' R U R' U' R' F R F'"
"H-Perm","M2 U M2 U2 M2 U M2"
"Ua-Perm","M2 U M U2 M' U M2"
"Ub-Perm","M2 U' M U2 M' U' M2"
"Z-Perm","M' U M2 U M2 U M' U2 M2"









"Ua-Perm","R U R' U R U R' U' R' U R2"
"Ub-Perm","R' U' R U' R' U R U R U' R2"
"Z-Perm","M2 U M2 U M' U2 M2 U2 M' U2"
"H-Perm","M2 U M2 U2 M2 U M2"
"Aa-Perm","R' U R' B2 R U' R' B2 R2"
"Ab-Perm","R2 B2 R U R' B2 R U' R"
"Ea-Perm","R U' R' D R U R' D' R U R' D R U' R' D'"
"T-Perm","R U R' U' R' F R2 U' R' U' R U R' F'"
"F-Perm","R U R' U' R U R' F' R U R' U' R' F R2 U' R' U'"
"Ja-Perm","R2 F R F' R U2 R' U R U2 R'"
"Jb-Perm","R U R' F' R U R' U' R' F R2 U' R'"
"Ra-Perm","R U' R' U' R U R D R' U' R D' R' U2 R'"
"Rb-Perm","R2 F R U R U' R' F' R U2 R' U2 R"
"V-Perm","R' U R' U' U R' F' R2 U' R' U R' F R F"
"Y-Perm","F R U' R' U' R U R' F' R U R' U' R' F R F'"
"Na-Perm","R U R' U R U R' F' R U R' U' R' F R2 U' R' U2 R U' R'"
"Nb-Perm","R' U R U' R' F' U' F R U R' F R' F' R U' R"
"Ga-Perm","R2 U R' U R' U' R U' R2 U D R' U R D'"
"Gb-Perm","F' U' F R2 U R' U R U' R U' R2"
"Gc-Perm","R2 U' R U' R U R' U R2 D' U R U' R' D U'"
"Gd-Perm","R U R' U' D R2 U' R U' R' U R' U R2 D'"
